Identifiant PRM;Date de début;Date de fin;Grandeur physique;Grandeur métier;Etape métier;Unité;Horodate;Valeur;Nature;Pas;Indice de vraisemblance;Etat complémentaire
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 21:00:00;11762;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 21:30:00;5314;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 22:00:00;2938;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 22:30:00;1694;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 23:00:00;134;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-24 23:30:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 00:00:00;98;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 00:30:00;100;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 01:00:00;110;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 01:30:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 02:00:00;128;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 02:30:00;98;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 03:00:00;100;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 03:30:00;100;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 04:00:00;128;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 04:30:00;132;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 05:00:00;118;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 05:30:00;100;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 06:00:00;98;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 06:30:00;124;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 07:00:00;150;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 07:30:00;154;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 08:00:00;124;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 08:30:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 09:00:00;130;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 09:30:00;158;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 10:00:00;138;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 10:30:00;120;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 11:00:00;122;B;PT30M;0;0
19507959427458;2024-12-23 00:00:00;2026-01-10 00:00:00;PA;CONS;BRUT;W;2024-12-25 11:30:00;122;B;PT30M;0;0
